,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,"Deutsche Telekom: Offers a range of fixed network services, Digital Transformation, Automation, Digitalization",8,8_mobile_telecommunications_services_communications,"['mobile', 'telecommunications', 'services', 'communications', 'broadband', 'fixed', 'digital', 'transformation', 'automation', 'and']","['Partner Communications Company: Partner Communications Company is a mobile network operator, internet Wi-Fi, fixed telephony service and OTT/IPTV provider in Israel., Cybersecurity, Security, HealthTech', 'SFR: SFR operates as a mobile telecommunications operator that offers mobile telephony services., Digital Transformation, Automation, HealthTech', 'Movistar: Movistar is a Spanish mobile phone operator offering fixed and mobile telephony and broadband services for its clients.\xa0, Automation, MarTech, Future of Work']",mobile - telecommunications - services - communications - broadband - fixed - digital - transformation - automation - and,0.9436651113589998,False
1,"BMW: Leading provider of premium products and services for individual mobility, Digital Transformation, Industry 4.0, Automation",4,4_cars_industry_of_manufacturer,"['cars', 'industry', 'of', 'manufacturer', '40', 'other', 'automotive', 'and', 'transformation', 'digital']","['Volkswagen: Leading German automotive manufacturer, Digital Transformation, Automation, Industry 4.0', 'Porsche: Leading manufacturer of high quality cars, Other, Automation, Digital Transformation', 'Daimler: Producer of premium cars and manufacturer of commercial vehicles, Other, Digital Transformation, Automation']",cars - industry - of - manufacturer - 40 - other - automotive - and - transformation - digital,0.9402018249203715,False
2,"Lufthansa: Das ist der offizielle Lufthansa_DE Twitter Kanal. Anregungen, Lob oder Kritik: https://t.co/ez9Kj2hvJa Informationen zum Datenschutz: https://t.co/aFhyxUD63u, Digital Transformation, Automation, Future of Work",8,8_mobile_telecommunications_services_communications,"['mobile', 'telecommunications', 'services', 'communications', 'broadband', 'fixed', 'digital', 'transformation', 'automation', 'and']","['Partner Communications Company: Partner Communications Company is a mobile network operator, internet Wi-Fi, fixed telephony service and OTT/IPTV provider in Israel., Cybersecurity, Security, HealthTech', 'SFR: SFR operates as a mobile telecommunications operator that offers mobile telephony services., Digital Transformation, Automation, HealthTech', 'Movistar: Movistar is a Spanish mobile phone operator offering fixed and mobile telephony and broadband services for its clients.\xa0, Automation, MarTech, Future of Work']",mobile - telecommunications - services - communications - broadband - fixed - digital - transformation - automation - and,0.7766622041145631,False
3,"Airbus: Commercial aircraft manufacturer that sets the standard for the aviation industry thought its customer focus and more, Digital Transformation, Automation, Other",-1,-1_and_is_automation_digital,"['and', 'is', 'automation', 'digital', 'of', 'transformation', 'the', 'in', 'for', 'other']","['Business France: Business France is the national agency responsible for the development of exports and international investment in France., Future of Work, Automation', 'Tesa: Tesa AG manufactures and markets self-adhesive products and system solutions for industry, trade, and consumer sectors worldwide., Future of Work, Digital Transformation, Automation', 'Smart: Smart offers its members with solutions to create a salaried job and a range of services in legal, financial, training and administration., CleanTech, Future of Work, Digital Transformation']",and - is - automation - digital - of - transformation - the - in - for - other,0.0,False
4,"Sanofi: A global integrated healthcare leader discovers, develops and distributes therapeutic solutions, Digital Transformation, Automation, Future of Work",2,2_healthtech_health_and_medical,"['healthtech', 'health', 'and', 'medical', 'healthcare', 'digital', 'transformation', 'in', 'the', 'pharmaceutical']","['Novo Nordisk: Novo Nordisk is a global healthcare company with more than 90 years of innovation and leadership in diabetes care., HealthTech, Health Care', 'University Medical Center Groningen: University Medical Center Groningen is a hospital in Groningen, The Netherlands. Its core tasks are academic health care, medical education., HealthTech, Automation', 'Fresenius Medical Care: Fresenius Medical Care is a healthcare company that provides dialysis treatment for those with chronic kidney diseases., Digital Transformation, Future of Work, Automation']",healthtech - health - and - medical - healthcare - digital - transformation - in - the - pharmaceutical,0.9276660463394636,False
5,"Adidas: A global leading sports brand, Automation, Digital Transformation, Digitalization",0,0_and_food_is_the,"['and', 'food', 'is', 'the', 'that', 'of', 'automation', 'products', 'in', 'stores']","['Lesara: Lesara is the leading global agile retail pioneer for amazing fashion merchandise at best prices.\r\n\r\nThe company has offices in China and Germany and since its launch in 2013 expanded into 24 markets in 7 languages across Europe, grew its assortment to more than 100.000 SKUs and the the team to over 300 employees.\r\n\r\nLesara is operating a completely vertically integrated supply chain and needs only 2 weeks from idea over design, production to product go-live for its collections.\r\n\r\nThe company was awarded as fastest growing tech-company in Europe in 2016., Digitalization', 'Next: Next is engages in the retail of clothing, footwear, accessories, and home products for men, women, and children., Automation, Digital Transformation, HealthTech', 's.Oliver: s.Oliver is an online shop for apparel and fashion., Automation, Digital Transformation, Future of Work']",and - food - is - the - that - of - automation - products - in - stores,0.8190216322500242,False
6,"Deutsche Bahn: Germany's leading train ticket booking service, Digital Transformation, Future of Work, Automation",6,6_transport_travel_rail_air,"['transport', 'travel', 'rail', 'air', 'airline', 'the', 'and', 'of', 'mobility', 'airlines']","['SITA: SITA is an air transport IT and communications specialist, providing IT and telecommunication services to the air transport industry., Cybersecurity, Automation', 'Iberia: Iberia operates a commercial airline and travel service for clients in Latin America and the rest of the world., Digital Transformation, Other', 'Renfe: Renfe is a service rail transport of passengers and goods under the Ministry of Development., New Mobility']",transport - travel - rail - air - airline - the - and - of - mobility - airlines,0.8978582605705081,False
7,"HSBC: Is a British multinational banking and financial services company, Digital Transformation, Automation, FinTech",1,1_bank_fintech_financial_banking,"['bank', 'fintech', 'financial', 'banking', 'services', 'payments', 'is', 'digital', 'of', 'transformation']","['HSBC: Is a British multinational banking and financial services company, Digital Transformation, Automation, FinTech', 'The Royal Bank of Scotland: The Royal Bank of Scotland is a bank providing retail banking services throughout the United Kingdom and Ireland.\xa0, Other, FinTech, Automation', 'Deutsche Bank: Global investment bank, offers financial products and services to corporate and institutional clients, FinTech, Automation, Digital Transformation']",bank - fintech - financial - banking - services - payments - is - digital - of - transformation,0.7914799375105255,True
8,"Barclays: British multinational banking and financial services company headquartered in London, FinTech, Automation, Digital Transformation",1,1_bank_fintech_financial_banking,"['bank', 'fintech', 'financial', 'banking', 'services', 'payments', 'is', 'digital', 'of', 'transformation']","['HSBC: Is a British multinational banking and financial services company, Digital Transformation, Automation, FinTech', 'The Royal Bank of Scotland: The Royal Bank of Scotland is a bank providing retail banking services throughout the United Kingdom and Ireland.\xa0, Other, FinTech, Automation', 'Deutsche Bank: Global investment bank, offers financial products and services to corporate and institutional clients, FinTech, Automation, Digital Transformation']",bank - fintech - financial - banking - services - payments - is - digital - of - transformation,0.7928052052936531,False
9,"E.ON: Focused on renewables, energy networks and customer solutions, which are the building blocks of the new energy world, Digital Transformation, Automation, Digitalization",3,3_energy_gas_and_electricity,"['energy', 'gas', 'and', 'electricity', 'is', 'company', 'transformation', 'water', 'digital', 'the']","['Engie: ENGIE is a global energy player and an expert operator in the three key sectors of electricity, natural gas and energy services., Automation, Digital Transformation, Other', 'Veolia: Veolia group is the global leader in optimized resource management. With nearly 179,000 employees worldwide, the Group designs and provides water, waste and energy management solutions which contribute to the sustainable development of communities and industries. Through its three complementary business activities, Veolia helps to develop access to resources, preserve available resources, and to replenish them. In 2019, the Veolia group supplied 98 million people with drinking water and 67 million people with wastewater service, produced nearly 45 million megawatt hours of energy and treated 50 million metric tons of waste. Veolia Environnement (listed on Paris Euronext: VIE) recorded consolidated revenue of €27.189 billion in 2019 (USD 29.9 billion)., Digital Transformation, Automation, Smart Supply Chain', 'Equinor: Equinor is an energy company that specializes in providing oil, gas, wind energy, and solar power energy., Other, CleanTech, FinTech']",energy - gas - and - electricity - is - company - transformation - water - digital - the,0.7383632295685777,False
